TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2025-08-14,2025-08-14,FO,BSE,IDO,847060,,SENSEX,,2025-08-19,2025-08-19,89200.00,CE,SENSEX2581989200CE,0.40,1.20,0.40,0.55,1.00,0.05,80597.66,0.55,460,460,600,53520332.00,8,F1,20,,,,,
2025-08-14,2025-08-14,FO,BSE,IDO,842674,,BANKEX,,2025-09-25,2025-09-25,59100.00,PE,BANKEX25SEP59100PE,201.00,201.00,151.00,151.00,151.00,161.65,61625.39,488.65,0,0,60,3556560.00,2,F1,30,,,,,
2025-08-14,2025-08-14,FO,BSE,IDO,860708,,SENSEX,,2025-08-19,2025-08-19,73700.00,PE,SENSEX2581973700PE,2.10,12.10,1.30,1.70,1.40,0.05,80597.66,1.70,580,580,33160,2443995050.00,675,F1,20,,,,,
2025-08-14,2025-08-14,FO,BSE,IDO,826510,,SENSEX,,2025-08-26,2025-08-26,80700.00,PE,SENSEX25AUG80700PE,554.40,598.65,500.00,552.85,562.10,561.30,80597.66,552.85,18860,9460,35300,2867976371.00,1358,F1,20,,,,,
2025-08-14,2025-08-14,FO,BSE,IDO,857327,,SENSEX,,2025-09-04,2025-09-04,83800.00,CE,SENSEX2590483800CE,106.00,106.00,42.40,42.40,42.40,106.95,80597.66,296.25,60,20,60,5033088.00,3,F1,20,,,,,
2025-08-14,2025-08-14,FO,BSE,IDO,1146739,,SENSEX,,2025-09-25,2025-09-25,83000.00,CE,SENSEX25SEP83000CE,482.10,522.35,472.10,490.60,472.90,494.05,80597.66,490.60,1520,760,1280,106864499.00,64,F1,20,,,,,
2025-08-14,2025-08-14,FO,BSE,IDO,826416,,BANKEX,,2025-08-26,2025-08-26,59500.00,PE,BANKEX25AUG59500PE,36.75,40.00,33.95,33.95,33.95,40.00,61625.39,145.10,870,-150,240,14289016.50,6,F1,30,,,,,
2025-08-14,2025-08-14,FO,BSE,IDO,826581,,SENSEX,,2025-08-26,2025-08-26,89000.00,CE,SENSEX25AUG89000CE,6.30,6.30,6.30,6.30,6.30,0.85,80597.66,6.30,80,40,40,3560252.00,1,F1,20,,,,,
2025-08-14,2025-08-14,FO,BSE,IDO,847320,,SENSEX,,2025-08-19,2025-08-19,81400.00,CE,SENSEX2581981400CE,130.35,147.40,78.35,98.85,106.00,129.10,80597.66,98.85,164180,62220,4703540,383364233819.00,107544,F1,20,,,,,
2025-08-14,2025-08-14,FO,BSE,IDO,847113,,SENSEX,,2025-08-19,2025-08-19,79700.00,PE,SENSEX2581979700PE,102.00,104.40,61.40,77.75,84.80,99.70,80597.66,77.75,90560,11160,3118180,248768842542.00,74115,F1,20,,,,,
2025-08-14,2025-08-14,FO,BSE,IDO,842837,,BANKEX,,2025-09-25,2025-09-25,61800.00,CE,BANKEX25SEP61800CE,1728.00,1728.00,1126.00,1126.00,1126.00,1080.00,61625.39,1695.00,0,0,120,7585560.00,4,F1,30,,,,,
